preprocessed,original
drake nonstop i really like,Drake - Nonstop I really like
what are some must listen to rock albums,What are some must listen to rock albums?
rock songs with an acoustic or softer sounding bridge chorus,Rock songs with an acoustic or softer sounding bridge chorus
need help finding music like this,Need Help Finding Music Like This
music artists like bitter ruin or aliceband,Music/Artists like Bitter Ruin or AlicebanD?
need a recommendation dance electronica with a hang drum,Need a recommendation - Dance/Electronica with a hang drum
songs similar to melody noir patrick watson,songs similar to melody noir - patrick watson?
looking for similar acoustic semiacoustic bands artists like frank turner,"Looking for similar Acoustic/Semiacoustic bands/artists, like Frank Turner"
any songs that tell a story | like carolina drama by the raconteurs,Any songs that tell a story (like Carolina Drama by the Raconteurs)
songs that are derivatives of pachelbels canon,Songs that are derivatives of Pachelbel's Canon?
more of what this is please,More of what this is please.
request | super heavy dubstep i believe that its called deathstep or something like that | though its been a while since ive listened to dubstep,"[Request] Super heavy dubstep (I believe that it's called deathstep or something like that; though, it's been a while since I've listened to dubstep"
looking for some old west type music in this sort of style,Looking for some old west type music in this sort of style
similar to the album the way forward by intervals,"Similar to the album ""The Way Forward"" by Intervals?"
recommendation for songs similar to this one,Recommendation for songs similar to this one?
songs similar to doses & mimosas by cherub,Songs similar to Doses & Mimosas by Cherub
songs similar to janelle monaes songs,Songs similar to Janelle Monae's songs?
something like halfway to the halfway house,Something like Halfway to the halfway house
a similar emotional production vibe to molly ft brandon urie lil dicky,A similar emotional/production vibe to Molly ft Brandon Urie - Lil Dicky?
need music like the times they are a changin,Need Music Like “The Times They Are A-Changin’”
artists like lil tjay,Artists like Lil Tjay
summer songs,Summer Songs
are there any recent artist that makes jazz like this,Are there any recent artist that makes jazz like this
bands like archspire,Bands like archspire?
music with wonky contrabass bassline,Music with wonky contrabass bassline?
heres my 5 favorite dated 2013 2015s dance electronic songs what else would you recommend,"Here's my 5 favorite dated (2013-2015s) Dance/Electronic songs, what else would you recommend?"
any good pieces for 3 violins and a piano,Any good pieces for 3 violins and a piano?
looking for jazzy swing music,Looking for jazzy swing music.
war drum tribal music with vocals,War drum/Tribal music with vocals
looking for music with a similar vibe  sort of uplifting and bustling ukulele guitar bongos kind of thing,"Looking for music with a similar vibe :) Sort of uplifting and bustling - ukulele, guitar, bongos kind of thing."
looking for similar to brazilian soul by the knocks ft sodi tukker | acoustic bossa version,Looking for similar to Brazilian Soul by The Knocks ft. Sodi Tukker (acoustic bossa version).
grundge elliot smith type of band,Grundge Elliot Smith type of band?
looking for musicians like the offspring or nirvana,Looking for musicians like The Offspring or Nirvana
more songs similar to this one,More songs similar to this one?
bands songs similar to head in the ceiling fan by title fight,Bands/songs similar to Head in the Ceiling Fan by Title Fight
if i like these artists who else will i like,"If I like these artists, who else will I like?"
songs like electric light orchestra,Songs like Electric Light Orchestra
similar instrumentals,Similar Instrumentals
any song like kings of leon sex on fire,Any song like Kings of Leon- Sex on Fire?
songs similar to calm like you by the last shadow puppets,"Songs similar to ""Calm Like You"" by The Last Shadow Puppets"
are there any bands that sound like this,Are there any bands that sound like this?
creating a list of songs about space,Creating a list of songs about space
melodic techno 2020,MELODIC TECHNO 2020
please suggest some great jazz music,please suggest some great jazz music?
asesina kidd sowlo,Asesina.. Kidd Sowlo..
songs like rick ross thug cry or big krits cadillactica,"Songs like Rick Ross' ""Thug Cry"" or Big Krit's ""Cadillactica""?"
just want some more music to listen to,Just want some more music to listen to
help me make character playlists,Help me make character playlists?
pre game music like zhu working for it,Pre game music like ZHU - Working for it ?
looking for songs that inspire one foot infont of the other,Looking for songs that inspire one foot infont of the other
looking for something nostalgic melancholic and dreamlike like the following songs,"Looking for something nostalgic, melancholic and dreamlike like the following songs"
metal songs about suicide and anxiety,Metal songs about suicide and anxiety?
any other great songs like this,Any other great songs like this?
any artists with voices similar to leonard cohen or will oldham,Any artists with voices similar to Leonard Cohen or Will Oldham?
peach pit black licorice,Peach Pit - Black Licorice
suggestions for a new metal fan,Suggestions for a new metal fan?
need music suggestions,Need Music Suggestions
looking for this amazing style,Looking for this amazing style
need some good edm recommendations,Need Some Good EDM recommendations
musical innovators,Musical Innovators
catchy rap hip hop with a good beat,Catchy Rap/Hip hop with a good beat?.
need suggestion | songs with deep male voice with nice background music | with a somewhat metal feel about them but not too loud,"Need suggestion. Songs with deep male voice with nice background music (with a somewhat metal feel about them, but not too loud)"
songs like bail money by fredo santana,Songs like Bail Money by Fredo Santana
any songs or bands that sound like connect the dots by car seat headrest,Any songs or bands that sound like Connect the Dots by Car Seat Headrest?
looking for stuff similar to tfot | doppelganger manipulator,Looking for stuff similar to tfot (Doppelganger/Manipulator)
anything similar to tarkus by emerson lake & palmer,"anything similar to Tarkus by Emerson, Lake & Palmer?"
looking for similar music to silver sun pickups arcade fire foals,Looking for similar music to Silver-sun Pickups/Arcade Fire/Foals :)
rock suggestions,"Rock suggestions,"
chill sad music,Chill sad music
relaxing sleeping music that will make you sleep like baby,Relaxing Sleeping Music That Will Make You Sleep Like Baby
looking for similar music,Looking for similar music
crusty rap,Crusty rap?
suggestions for wake memorial playlist,Suggestions for wake/memorial playlist.
looking for edm house music with piano and string influence,Looking for EDM/House music with piano and string influence.
songs similar to serenade for two from yuri on ice ost,"Songs similar to ""Serenade for two"" from Yuri on Ice OST"
