mention,type,query,wiki_link,wikidata_type,wiki_name,exposure
rage of plastics,WoA,very specific but any songs similar to rage of plastics by us girls,,,,0.0
us girls,Artist,very specific but any songs similar to rage of plastics by us girls,,,,0.0
come together,WoA,looking for something like come together by urbandawn,https://en.wikipedia.org/wiki/Come_Together,musical work/composition,Come_Together,3.4765072422825583
urbandawn,Artist,looking for something like come together by urbandawn,,,,0.0
ascent,WoA,what is some dreamy ethereal music like ascent by brian eno and the opening of halcyon on and on,https://en.wikipedia.org/wiki/The_Ascent_(1977_film),film,The_Ascent_(1977_film),0.0
brian eno,Artist,what is some dreamy ethereal music like ascent by brian eno and the opening of halcyon on and on,https://en.wikipedia.org/wiki/Brian_Eno,human,Brian_Eno,6.274659812787128
halcyon on and on,WoA,what is some dreamy ethereal music like ascent by brian eno and the opening of halcyon on and on,,,,0.0
copperhead road,WoA,rock songs with the use of bagpipes | copperhead road by steve earle or dropkick murphys,https://en.wikipedia.org/wiki/Copperhead_Road,album,Copperhead_Road,0.8062869156993084
steve earle,Artist,rock songs with the use of bagpipes | copperhead road by steve earle or dropkick murphys,https://en.wikipedia.org/wiki/Steve_Earle,human,Steve_Earle,5.0277358057630295
dropkick murphys,Artist,rock songs with the use of bagpipes | copperhead road by steve earle or dropkick murphys,https://en.wikipedia.org/wiki/Dropkick_Murphys,musical group,Dropkick_Murphys,4.631118307514868
cowboy bebop,Artist,anything similar to this masterpiece | soothing jazz cowboy bebop,https://en.wikipedia.org/wiki/Cowboy_Bebop_(1998_video_game),video game,Cowboy_Bebop_(1998_video_game),0.0
pop evil,Artist,modern uplifting rock songs like pop evil be legendary,https://en.wikipedia.org/wiki/Pop_Evil,musical group,Pop_Evil,2.9852222746654995
be legendary,WoA,modern uplifting rock songs like pop evil be legendary,,,,0.0
sad boy,WoA,downtempo sad boy songs like this,,,,0.0
weird revolution,WoA,songs albums similar to songs on weird revolution by butthole surfers,https://en.wikipedia.org/wiki/Weird_Revolution,album,Weird_Revolution,0.5415419101877497
butthole surfers,Artist,songs albums similar to songs on weird revolution by butthole surfers,https://en.wikipedia.org/wiki/Butthole_Surfers,musical group,Butthole_Surfers,4.291845106796362
blood in the cut,WoA,looking for songs similar to blood in the cut by kflay,,,,0.0
kflay,Artist,looking for songs similar to blood in the cut by kflay,https://en.wikipedia.org/wiki/K.Flay,human,K.Flay,2.333398168343757
music sounds better with you,WoA,songs like music sounds better with you by stardust and 900 degrees by ian pooley,https://en.wikipedia.org/wiki/Music_Sounds_Better_with_You,song,Music_Sounds_Better_with_You,1.842544402641746
stardust,Artist,songs like music sounds better with you by stardust and 900 degrees by ian pooley,https://en.wikipedia.org/wiki/Stardust_(band),musical group,Stardust_(band),2.345971210422242
900 degrees,WoA,songs like music sounds better with you by stardust and 900 degrees by ian pooley,https://en.wikipedia.org/wiki/900_Degrees,musical work/composition,900_Degrees,0.0
ian pooley,Artist,songs like music sounds better with you by stardust and 900 degrees by ian pooley,https://en.wikipedia.org/wiki/Ian_Pooley,human,Ian_Pooley,1.7526175037622682
deaths,Artist,death metal in the style of deaths 2 last albums,https://en.wikipedia.org/wiki/Death_(metal_band),heavy metal band,Death_(metal_band),4.374054203834616
monsters,WoA,any songs that sound like the first 30 seconds of monsters by ruelle,https://en.wikipedia.org/wiki/Monsters_(Saara_Aalto_song),single,Monsters_(Saara_Aalto_song),0.0
ruelle,Artist,any songs that sound like the first 30 seconds of monsters by ruelle,https://en.wikipedia.org/wiki/Ruelle_(singer),human,Ruelle_(singer),0.3842819272987245
weekend,WoA,i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,https://en.wikipedia.org/wiki/Weekend_(Earth_and_Fire_song),single,Weekend_(Earth_and_Fire_song),0.023683645981869
 mac miller,Artist,i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,https://en.wikipedia.org/wiki/Mac_Miller,human,Mac_Miller,4.2415335155732485
erase me,WoA,i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,https://en.wikipedia.org/wiki/Erase_Me_(song),single,Erase_Me_(song),0.544677060739108
 kid cudi,Artist,i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,https://en.wikipedia.org/wiki/Kid_Cudi,human,Kid_Cudi,4.655602130249489
ac dc,Artist,similar bands to ac dc volbeat our lady peace and matchbox 20,https://en.wikipedia.org/wiki/AC/DC,rock group,AC/DC,6.466157067097583
volbeat,Artist,similar bands to ac dc volbeat our lady peace and matchbox 20,https://en.wikipedia.org/wiki/Volbeat,musical group,Volbeat,3.578904144789158
our lady peace,Artist,similar bands to ac dc volbeat our lady peace and matchbox 20,https://en.wikipedia.org/wiki/Our_Lady_Peace,musical group,Our_Lady_Peace,4.195474294048346
matchbox 20,Artist,similar bands to ac dc volbeat our lady peace and matchbox 20,https://en.wikipedia.org/wiki/Matchbox_Twenty,musical group,Matchbox_Twenty,4.239016308877629
the five stars,Artist,music similar to the five stars,https://en.wikipedia.org/wiki/The_Five_Stars,musical group,The_Five_Stars,0.3160118312994786
session one,WoA,more songs like session one by eminem slaughterhouse,https://en.wikipedia.org/wiki/Session_One,album,Session_One,0.0
eminem,Artist,more songs like session one by eminem slaughterhouse,https://en.wikipedia.org/wiki/Eminem,human,Eminem,6.941731741392774
slaughterhouse,Artist,more songs like session one by eminem slaughterhouse,https://en.wikipedia.org/wiki/Slaughterhouse_(group),musical group,Slaughterhouse_(group),3.0767936509875646
kanyes,Artist,songs like kanyes new song violent crimes,https://en.wikipedia.org/wiki/Kanye_West,human,Kanye_West,7.385428427109876
violent crimes,WoA,songs like kanyes new song violent crimes,https://en.wikipedia.org/wiki/Violent_Crimes_(song),musical work/composition,Violent_Crimes_(song),0.0
pharrell,Artist,suggestions for fans of pharrell,https://en.wikipedia.org/wiki/Pharrell_Williams,human,Pharrell_Williams,6.430826312351613
modest mouse,Artist,looking for vocals that are occasionally yelled with some voice cracking like modest mouse and the talking heads | no screamo | female vocals would be cool,https://en.wikipedia.org/wiki/Modest_Mouse,musical group,Modest_Mouse,4.663176073125564
