preprocessed,original
dark and suspenseful music,Dark and suspenseful music?
looking for great post metal bands | metal music fan poking at post rock,Looking for great post-metal bands. Metal music fan poking at post-rock.
looking for songs similar to this sparse production no drums etc | please help me out,"Looking for songs similar to this - sparse production, no drums etc. Please help me out!"
blues songs by non blues artists,blues songs by non-blues artists?
very specific but any songs similar to rage of plastics by us girls,"Very specific, but any songs similar to Rage of Plastics by us girls?"
progressive metal bands with mostly clean vocals | ie no growl not no swearing,"Progressive Metal bands with mostly clean vocals? (ie no growl, not no swearing)"
looking for something like come together by urbandawn,Looking for something like Come Together by urbandawn
music about working hard,Music About Working Hard
what is some dreamy ethereal music like ascent by brian eno and the opening of halcyon on and on,"What is some dreamy ethereal music like ""Ascent"" by Brian Eno and the opening of ""Halcyon On and On""?"
rock songs with the use of bagpipes | copperhead road by steve earle or dropkick murphys,Rock songs with the use of bagpipes? (e.g. Copperhead Road by Steve Earle or Dropkick Murphys)
anything similar to this masterpiece | soothing jazz cowboy bebop,Anything similar to this masterpiece? (Soothing / Jazz / Cowboy Bebop)
youre a time traveller living in the 80s what future music do you put on a mixtape for your girlfriend,"You're a time traveller living in the 80s, what future music do you put on a mixtape for your girlfriend?"
modern uplifting rock songs like pop evil be legendary,modern uplifting rock songs like Pop Evil - Be Legendary
medieval electronica fusion,Medieval/Electronica fusion?
looking for more breezy jazzy songs like this,"looking for more breezy, jazzy songs like this."
help | cant remember the song name,Help! Cant remember the song name.
looking for some chill out music with a hip hop ish feel,Looking for some chill-out music with a hip-hop ish feel
im looking for innovative and complex rap,I'm looking for innovative and complex rap.
suggestions for my a capella group,Suggestions for my a capella group
downtempo sad boy songs like this,Downtempo sad boy songs like this?
songs albums similar to songs on weird revolution by butthole surfers,songs/albums similar to songs on Weird Revolution by Butthole Surfers?
looking for music similar to this mix,Looking for music similar to this mix?
any slow guttural low pitch metal psydub music,"Any slow, guttural, low pitch metal × psydub music?"
looking for songs similar to blood in the cut by kflay,Looking for songs similar to Blood In The Cut by k.flay
looking for rap suggestions,Looking for rap suggestions
songs about breakups that arent angry,Songs about breakups that aren’t angry
songs like music sounds better with you by stardust and 900 degrees by ian pooley,"Songs like ""Music Sounds Better with You"" by Stardust and ""900 degrees"" by Ian Pooley"
death metal in the style of deaths 2 last albums,Death Metal in the style of Death's 2 last albums
visual kei suggestions,Visual Kei suggestions
a great song about dog,a great song about dog(s)?
any songs that sound like the first 30 seconds of monsters by ruelle,any songs that sound like the first 30 seconds of Monsters by Ruelle?
any metal songs with both male and female voices,Any metal songs with both male and female voices?
i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,"I really enjoy laid back rap that has witty lyrics and a good beat, like “Weekend”-Mac Miller or “Erase Me”- Kid Cudi. Looking for more suggestions like these"
similar bands to ac dc volbeat our lady peace and matchbox 20,"Similar bands to AC/DC, Volbeat, Our Lady Peace and Matchbox 20?"
music similar to the five stars,Music similar to The Five Stars?
more songs like session one by eminem slaughterhouse,More songs like Session One by Eminem/Slaughterhouse ?
songs like kanyes new song violent crimes,"Songs like Kanye's new song, ""Violent Crimes""?"
looking for catchy punk with good guitars,Looking for catchy punk with good guitars.
suggestions for fans of pharrell,Suggestions for fans of Pharrell?
looking for vocals that are occasionally yelled with some voice cracking like modest mouse and the talking heads | no screamo | female vocals would be cool,"Looking for vocals that are occasionally yelled, with some voice cracking, like modest mouse and the talking heads! (No screamo) (female vocals would be cool)"
old songs but covered by metal rock bands,Old Songs but Covered by Metal/Rock Bands
any jazz songs with a girl singing,Any jazz songs with a girl singing?
heavier & proggier metal bands,Heavier & proggier metal bands
any music with dystopian vibes,Any music with Dystopian vibes ?
