id,text,start_offset,end_offset,label
14038,very specific but any songs similar to rage of plastics by us girls,39,55,WoA_deduced
14038,very specific but any songs similar to rage of plastics by us girls,59,67,Artist_deduced
14040,looking for something like come together by urbandawn,44,53,Artist_deduced
14040,looking for something like come together by urbandawn,27,40,WoA_known
14042,what is some dreamy ethereal music like ascent by brian eno and the opening of halcyon on and on,40,46,WoA_deduced
14042,what is some dreamy ethereal music like ascent by brian eno and the opening of halcyon on and on,50,59,Artist_known
14042,what is some dreamy ethereal music like ascent by brian eno and the opening of halcyon on and on,79,86,WoA_deduced
14043,rock songs with the use of bagpipes | copperhead road by steve earle or dropkick murphys,38,53,WoA_deduced
14043,rock songs with the use of bagpipes | copperhead road by steve earle or dropkick murphys,57,68,Artist_deduced
14043,rock songs with the use of bagpipes | copperhead road by steve earle or dropkick murphys,72,88,Artist_or_WoA_deduced
14044,anything similar to this masterpiece | soothing jazz cowboy bebop,53,65,WoA_known
14046,modern uplifting rock songs like pop evil be legendary,33,41,Artist_deduced
14046,modern uplifting rock songs like pop evil be legendary,42,54,WoA_deduced
14054,songs albums similar to songs on weird revolution by butthole surfers,33,49,WoA_deduced
14054,songs albums similar to songs on weird revolution by butthole surfers,53,69,Artist_deduced
14057,looking for songs similar to blood in the cut by kflay,29,45,WoA_deduced
14057,looking for songs similar to blood in the cut by kflay,49,54,Artist_deduced
14060,songs like music sounds better with you by stardust and 900 degrees by ian pooley,11,39,WoA_known
14060,songs like music sounds better with you by stardust and 900 degrees by ian pooley,43,51,Artist_known
14060,songs like music sounds better with you by stardust and 900 degrees by ian pooley,56,67,WoA_deduced
14060,songs like music sounds better with you by stardust and 900 degrees by ian pooley,71,81,Artist_deduced
14061,death metal in the style of deaths 2 last albums,28,34,Artist_deduced
14064,any songs that sound like the first 30 seconds of monsters by ruelle,50,58,WoA_deduced
14064,any songs that sound like the first 30 seconds of monsters by ruelle,62,68,Artist_deduced
14066,i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,80,90,Artist_deduced
14066,i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,72,79,WoA_deduced
14066,i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,94,102,WoA_deduced
14066,i really enjoy laid back rap that has witty lyrics and a good beat like weekend mac miller or erase me kid cudi | looking for more suggestions like these,103,111,Artist_deduced
14067,similar bands to ac dc volbeat our lady peace and matchbox 20,17,22,Artist_known
14067,similar bands to ac dc volbeat our lady peace and matchbox 20,23,30,Artist_deduced
14067,similar bands to ac dc volbeat our lady peace and matchbox 20,31,45,Artist_deduced
14067,similar bands to ac dc volbeat our lady peace and matchbox 20,50,61,Artist_deduced
14068,music similar to the five stars,17,31,Artist_or_WoA_deduced
14069,more songs like session one by eminem slaughterhouse,16,27,WoA_deduced
