mention,type,query,wiki_link,wikidata_type,wiki_name,exposure
its never over,WoA,drake bell its never over,,,,0.0
drake bell,Artist,drake bell its never over,https://en.wikipedia.org/wiki/Drake_Bell,human,Drake_Bell,3.868403116746073
blackbird,WoA,songs similar to blackbird by alter ridge,https://en.wikipedia.org/wiki/Blackbird_(Beatles_song),musical work/composition,Blackbird_(Beatles_song),3.1343778174008268
alter ridge,Artist,songs similar to blackbird by alter ridge,,,,0.0
k ci and jojo,Artist,im searching for modern music thats similar to k ci and jojo joe montell jordan usher | my way era,https://en.wikipedia.org/wiki/K-Ci_%26_JoJo,musical duo,K-Ci_%26_JoJo,3.6632627640044095
joe,Artist,im searching for modern music thats similar to k ci and jojo joe montell jordan usher | my way era,https://en.wikipedia.org/wiki/Joe_(singer),human,Joe_(singer),3.732269599698949
 montell jordan,Artist,im searching for modern music thats similar to k ci and jojo joe montell jordan usher | my way era,https://en.wikipedia.org/wiki/Montell_Jordan,human,Montell_Jordan,3.3969742795316087
usher,Artist,im searching for modern music thats similar to k ci and jojo joe montell jordan usher | my way era,https://en.wikipedia.org/wiki/Usher_(musician),human,Usher_(musician),6.237473335407758
my way,WoA,im searching for modern music thats similar to k ci and jojo joe montell jordan usher | my way era,https://en.wikipedia.org/wiki/My_Way_(Usher_album),album,My_Way_(Usher_album),1.5753865871509092
hoodie allen,Artist,request | looking for similar artists as hoodie allen and g eazy,https://en.wikipedia.org/wiki/Hoodie_Allen,human,Hoodie_Allen,2.3646129548437287
g eazy,Artist,request | looking for similar artists as hoodie allen and g eazy,https://en.wikipedia.org/wiki/G-Eazy,human,G-Eazy,3.6444032745950015
rusty,WoA,beat song like rusty by tyler the creator,https://en.wikipedia.org/wiki/Rusty_(Slick_Shoes_album),album,Rusty_(Slick_Shoes_album),0.0
tyler the creator,Artist,beat song like rusty by tyler the creator,,,,0.0
og music,Artist,what is the name of this kind og music,,,,0.0
heroes,WoA,looking for songs like heroes by peter gabriel,https://en.wikipedia.org/wiki/%22Heroes%22_(David_Bowie_album),album,%22Heroes%22_(David_Bowie_album),2.780121434559831
peter gabriel,Artist,looking for songs like heroes by peter gabriel,https://en.wikipedia.org/wiki/Peter_Gabriel,human,Peter_Gabriel,6.295769868222685
france galls,Artist,happy songs like france galls dann schon eher der piano player,https://en.wikipedia.org/wiki/France_Gall,human,France_Gall,3.4509237212032247
dann schon eher der piano player,WoA,happy songs like france galls dann schon eher der piano player,,,,0.0
jutes,Artist,jutes walk on me,,,,0.0
walk on me,WoA,jutes walk on me,,,,0.0
snuff,WoA,songs like snuff by slipknot,https://en.wikipedia.org/wiki/Snuff_(song),single,Snuff_(song),1.3032563725984083
slipknot,Artist,songs like snuff by slipknot,https://en.wikipedia.org/wiki/Slipknot_(band),musical group,Slipknot_(band),5.515733328853969
imagine dragons,Artist,where can i find more songs with guitar solos like this | imagine dragons cover of mad world by gary jules,https://en.wikipedia.org/wiki/Imagine_Dragons,rock group,Imagine_Dragons,4.41313411201174
mad world,WoA,where can i find more songs with guitar solos like this | imagine dragons cover of mad world by gary jules,https://en.wikipedia.org/wiki/Mad_World,musical work/composition,Mad_World,2.936962967478941
gary jules,Artist,where can i find more songs with guitar solos like this | imagine dragons cover of mad world by gary jules,https://en.wikipedia.org/wiki/Gary_Jules,human,Gary_Jules,2.773564277858986
annabelle,WoA,songs similar to annabelle gillian welch,https://en.wikipedia.org/wiki/Annabelle_Butterfly_Dance,silent short film,Annabelle_Butterfly_Dance,0.0
gillian welch,Artist,songs similar to annabelle gillian welch,https://en.wikipedia.org/wiki/Gillian_Welch,human,Gillian_Welch,3.844144691066472
eminem,Artist,songs similar to you gon learn by eminem,https://en.wikipedia.org/wiki/Eminem,human,Eminem,6.941731741392774
you gon learn,WoA,songs similar to you gon learn by eminem,,,,0.0
seven deadly sins,WoA,songs like the seven deadly sins ost,https://en.wikipedia.org/wiki/At_It_Again,album,At_It_Again,0.0
greta van fleet,Artist,bands like greta van fleet | 70s rock revival,https://en.wikipedia.org/wiki/Greta_Van_Fleet,musical group,Greta_Van_Fleet,1.3950014205485477
