id,text,start_offset,end_offset,label
14634,drake bell its never over,0,5,Artist_known
14634,drake bell its never over,6,25,WoA_deduced
14635,songs similar to blackbird by alter ridge,17,26,WoA_deduced
14635,songs similar to blackbird by alter ridge,30,41,Artist_deduced
14636,im searching for modern music thats similar to k ci and jojo joe montell jordan usher | my way era,47,51,Artist_deduced
14636,im searching for modern music thats similar to k ci and jojo joe montell jordan usher | my way era,56,85,Artist_deduced
14649,request | looking for similar artists as hoodie allen and g eazy,41,53,Artist_deduced
14649,request | looking for similar artists as hoodie allen and g eazy,58,64,Artist_known
14650,beat song like rusty by tyler the creator,15,20,WoA_deduced
14650,beat song like rusty by tyler the creator,24,41,Artist_known
14652,looking for songs like heroes by peter gabriel,23,29,WoA_known
14652,looking for songs like heroes by peter gabriel,33,46,Artist_known
14653,happy songs like france galls dann schon eher der piano player,17,29,Artist_known
14653,happy songs like france galls dann schon eher der piano player,30,62,WoA_deduced
14654,jutes walk on me,0,5,Artist_deduced
14654,jutes walk on me,6,16,WoA_deduced
14655,songs like snuff by slipknot,11,16,WoA_deduced
14655,songs like snuff by slipknot,20,28,Artist_known
14657,where can i find more songs with guitar solos like this | imagine dragons cover of mad world by gary jules,58,73,Artist_known
14657,where can i find more songs with guitar solos like this | imagine dragons cover of mad world by gary jules,96,106,Artist_known
14657,where can i find more songs with guitar solos like this | imagine dragons cover of mad world by gary jules,83,92,WoA_known
14660,songs similar to annabelle gillian welch,17,26,WoA_deduced
14660,songs similar to annabelle gillian welch,27,40,Artist_deduced
14664,songs similar to you gon learn by eminem,17,30,WoA_deduced
14664,songs similar to you gon learn by eminem,34,40,Artist_known
14665,songs like the seven deadly sins ost,15,32,WoA_known
14669,bands like greta van fleet | 70s rock revival,11,26,Artist_known
14673,more like the cowboy bebop theme song by tank | energetic jazz,14,26,WoA_known
14673,more like the cowboy bebop theme song by tank | energetic jazz,41,45,WoA_known
14674,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,29,47,WoA_known
14674,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,48,57,Artist_known
14674,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,117,134,Artist_known
14674,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,58,67,WoA_deduced
14674,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,68,76,Artist_deduced
14674,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,77,87,WoA_deduced
14674,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,95,114,Artist_deduced
