preprocessed,original
i love radioheads kid a something similar | kinda a bit like aphex twin maybe,I love Radiohead's Kid A. Something similar? Kinda a bit like Aphex Twin maybe.
anything similar to i fight dragons,Anything similar to I Fight Dragons?
music similar to ccrs travelin band,Music similar to CCR's Travelin' Band?
songs similar to blackout by boris,Songs similar to Blackout by Boris
similar to zoosters breakout by hans zimmer but simpler not as epic,"Similar to ""Zoosters Breakout"" by Hans Zimmer but simpler/not as epic"
songs similar to trios da da da,"Songs similar to Trio’s, “Da, Da, Da?”"
aything similar to radioheads everything in its right place,Aything similar to Radiohead's Everything in its Right Place
music that has an orchestra with one primary singer,Music that has an orchestra with one primary singer
something isnt right ambiance for dnd,'Something isn't right' ambiance for dnd
osts music with ambient low tones,OSTs/music with ambient low tones
im looking for club | sounding remixes of popular indie | songs for a wedding reception playlist,"I'm looking for ""club?-sounding"" remixes of popular ""indie?"" songs for a wedding reception playlist."
any songs that start off slow and melodic and end in shouting screaming and heavy guitar | or just music that progressively gets heavier and heavier along with the vocals,any songs that start off slow and melodic and end in shouting screaming and heavy guitar? Or just music that progressively gets heavier and heavier along with the vocals?
dré anthony brand new,Dré Anthony - Brand New
looking for songs similar in subject and style to the intro to black parade by my chemical romance,"Looking for songs similar in subject and style to the intro to ""Black Parade"" by My Chemical Romance."
rap hip hop that sounds like crushed up by future,Rap/Hip-Hop that sounds like ‘Crushed Up’ by Future
songs with the same vibe as this | digging the soft punk style,Songs with the same vibe as this? Digging the soft punk style.
searching for rap r&b acts like matt champion of brockhampton,Searching for rap/r&b acts like Matt Champion of Brockhampton?
songs with a really evil sinister vibe,Songs with a really Evil/Sinister vibe?
looking for high quality melody rich gospel songs,"Looking for high quality, melody-rich gospel songs"
how to find songs similar to this | in style of arrangement,How to find songs similar to this (in style of arrangement)?
similar song to something beautifull need to breathe,Similar song to Something Beautifull - NEED TO BREATHE
any similiar song to this,Any similiar song to this?
i am looking for sexy music,"I am looking for ""sexy"" music"
stuff like flylo,Stuff like FlyLo
chill ambient jazzy music,Chill/ambient jazzy music
desert aesthetic intrumental music,Desert Aesthetic Intrumental Music?
is there any other similar songs with technical beats like this one,Is there any other similar songs with technical beats like this one?
looking for more ambient electronic downtempo trip hop songs with a slow piano violin similar to the songs in this playlist,"Looking for more Ambient/Electronic/Downtempo/Trip-Hop songs with a slow, piano/violin similar to the songs in this playlist."
andrew huang 300000 note song | any other songs that resembles this,Andrew Huang - 300000 note song (Any other songs that resembles this)
similar to buttercup by jack stauber,Similar to Buttercup by Jack Stauber
jpop k pop songs,Jpop/K-pop songs?
looking for great new music | try dmndr your spot for new artists photos reviews and more,looking for great new music? try DMNDR your spot for new artists photos reviews and more
im looking for some new music artists in the indie alternative roots genre | suggestions,I’m looking for some new music artists in the indie/alternative/roots genre. Suggestions?
prog rock metal bands,Prog rock/metal bands?
music to help me though the holidays,Music To Help Me Though The Holidays
im looking for an album like pheonixs love like a sunset | ideally instrumental only,"I'm looking for an album like Pheonix's ""Love Like a Sunset"". Ideally instrumental only."
songs for my grandparents,Songs for my grandparents!
looking for calm ghost related songs,"Looking for calm, ghost-related songs"
vocal deep house 2020,Vocal Deep House 2020
looking for some music with some tribal choirs,Looking for some music with some tribal choirs
looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,Looking for more sad songs in the same vein as things like Funeral by Phoebe bridges Trapeze swing by iron and wine. Within the rose by Matthew and the atlas. Any suggestions for songs that got this mood?
rock bands with african themes instruments,Rock bands with African themes/instruments?
scott pilgrim vs the world,Scott Pilgrim vs the World
agressive french rap,Agressive french rap?
coal chamber el cu cuy,Coal Chamber: El Cu Cuy
anything similar to these i could check out,anything similar to these I could check out?
bands or artists whos discography is so good i can go through it completely without being disappointed,Bands or artists who’s discography is so good I can go through it completely without being disappointed.
help with a indie mixtape for a fwb that might turn into a relationship,Help with a Indie Mixtape for a FWB that might turn into a relationship.
bluesy songs kinda like evil woman by black sabbath,Bluesy songs kinda like evil woman by Black Sabbath
melancholic and melodic,melancholic and melodic
i need albums to listen to on a snowy night to feel like ive experienced a thousand years of wisdom by the end of the album,I need albums to listen to on a snowy night to feel like I’ve experienced a thousand years of wisdom by the end of the album.
songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)"
any modern bands from 2010s inspired by curve with a female vocalist faster pop rock hooks soaring choruses and atmospheric wall of guitars,"Any modern bands from 2010s inspired by Curve, with a female vocalist, faster pop-rock hooks, soaring choruses and atmospheric wall of guitars?"
techno remixes,Techno remixes
looking for songs like drunk walk home by mitski,Looking for songs like Drunk Walk Home by Mitski
fun rock music,Fun rock music
suggest me new exiting music,Suggest me new exiting music!
speed music,Speed music
songs perfect for guardians of the galaxy,Songs perfect for Guardians of the Galaxy
songs about losing a friend,Songs about losing a friend
something like ten feet by curio,Something like Ten Feet by Curio
songs like spottieottiedopaliscious by outcast,"Songs like ""Spottieottiedopaliscious"" by outcast"
songs like gnaw by alex g,Songs like Gnaw by Alex G
a beautiful suggestion would suffice,A beautiful suggestion would suffice.
looking for anime ost,Looking for anime OST
im looking for new songs artists to listen to,I’m looking for new songs/artists to listen to
looking for a very specific brand of folk music,Looking For A Very Specific Brand of Folk Music
lindécis soulful chill remix,L’indécis - Soulful chill remix
looking for more music like this i guess its like folksy musical metal,Looking for more music like this - I guess it's like...folksy musical metal?
something weird,Something weird
music for a 1920s party,Music for a 1920s party
similar relaxing tunes to post malone psycho,Similar relaxing tunes to post malone - psycho
any songs like milky chance running,Any songs like milky chance - running ?
what are some good songs like this with a similar use of trumpet and sax,"What are some good songs like this, with a similar use of trumpet and sax?"
music like little lion man by mumford & sons,Music Like: Little Lion Man by Mumford & Sons.
hard rock suggests,Hard rock suggests
similar to 6 underground by sneaker pimps,Similar to 6 Underground by Sneaker Pimps?
what are some other artists like bishop gunn,What are some other artists like Bishop Gunn?
songs that have the same feeling as this must be the place | naive melody,Songs that have the same feeling as This Must Be The Place (Naive Melody)
not really caring much about sound but are there any songs lyrically about being a hedonist partying a lot sleeping around having fun but being sad deep down and depressed even though youre having fun,"not really caring much about sound, but are there any songs (lyrically) about being a hedonist, partying a lot, sleeping around, having ''fun'' but being sad deep down and depressed even though youre having ''fun'' ?"
looking for something to listen to like westworld soundtrack,Looking for something to listen to like Westworld soundtrack
gut wrenching screaming over acoustic instrumentation,Gut-wrenching screaming over acoustic instrumentation?
songs that have that upbeat 90s hip hop r&b pop feel,"Songs that have that ""upbeat 90s hip-hop/R&B/pop"" feel?"
explosive tracks for hiit,Explosive tracks for HIIT
songs similar to just my imagination by the temptations,Songs similar to ‘Just my Imagination’ by the Temptations
something like m2us magnolia without the dubstep,"Something like M2U's Magnolia, without the dubstep"
songs with great orchestral or vocal elements,Songs with great orchestral or vocal elements.
ive had this song on repeat for the past week,I've had this song on repeat for the past week
i recently watched this film and really liked the soundtrack | more recommendations based on this genre | what genre is it,I recently watched this film and really liked the soundtrack. More recommendations based on this genre? What genre is it?
i need sad songs,I need sad songs
request songs like perry comos anema e core | mediterranean love sentimental music,REQUEST: Songs like Perry Como's anema e core; Mediterranean love/sentimental music
a song like this,a song like this
noob here who loves 39 drift away hotel california suggest me some songs and especially bands,"Noob here who loves 39, Drift Away, Hotel California - suggest me some songs and especially bands"
any songs that make you emotional,any songs that make you emotional?
looking for music similar to waves by the bahamas,Looking for music similar to Waves by the Bahamas
what this genre is called,what this genre is called?
like daydreaming from a moon shaped pool by radiohead,Like Daydreaming from A Moon Shaped Pool by Radiohead
looking for love songs for girlfriend,Looking for love songs for girlfriend
female rap grime drill artists over the age of 30 | like lady leshurr or sa roc,"Female rap/grime/drill artists over the age of 30? Like Lady Leshurr, or Sa-Roc."
looking for more songs similar in concept to yesterday by the beatles,Looking for more songs similar in concept to Yesterday by The Beatles
looking for songs like the alternative stranger from skrillex,"Looking for songs like the alternative ""Stranger"" from Skrillex"
calming non ambient songs with natural elements,"Calming, non-ambient songs with natural elements"
songs that take advantage of 51 surround,Songs that take advantage of 5.1 surround?
seeking music with wierd & experiemental samples,Seeking music with wierd & experiemental samples
feel good music,Feel good music?
solos like slip away by mad season,Solos like Slip away by Mad Season
songs with lyrics that are heavily open to interpretation,Songs with lyrics that are heavily open to interpretation
any music thats more of an emotional outlet,Any Music That's More Of An Emotional Outlet?
similar to in this moment or pretty reckless,Similar to In This Moment or Pretty Reckless?
i m looking for similar songs to this one,I´m looking for similar Songs to this one
looking for songs similar to shes gone away by nin,"Looking for songs similar to ""She's Gone Away"" by NIN"
bright sunny intense complex music for a futuristic floating ocean city,Bright sunny intense/complex music for a futuristic floating ocean city?
im looking for a blend between metal and dnb dubstep trap electronic etc,"I’m looking for a blend between metal and dnb, dubstep, trap, electronic etc."
electronic featuring low hymn chant similar to background in childish gambinos bonfire,Electronic featuring low hymn/chant similar to background in childish Gambinos Bonfire?
christian or fun ska,Christian or fun ska?
songs where youre not sure if you should trust the artists statement like blacks wonderful life lou reeds perfect day and coldplays dont panic | we live in a beautiful world,"Songs where you're not sure if you should trust the artist's statement, like Black's Wonderful Life, Lou Reed's Perfect Day, and Coldplay's Don't Panic [""we live in a beautiful world""]"
dont know what to call this genre of music | what is it and what are some similar songs,Don't know what to call this genre of music; what is it and what are some similar songs? :0
looking for songs genre with a similar beat to the end of nursery bbno$,Looking for songs/genre with a similar beat to the end of nursery - bbno$
songs like say it aint so by weezer,Songs like “Say it ain’t so” by Weezer
clean weight training playlist help,Clean weight training playlist help
looking for songs like yoe mase ptsd,"Looking for songs like ""Yoe Mase - PTSD"""
music like morrissey and the smiths,Music like Morrissey and The Smiths
song similar to the first minute of bad guy by billie eilish,Song similar to the first minute of ''bad guy'' by Billie Eilish?
seeking creepy traditional japanese music,Seeking creepy traditional Japanese music
bands like the main squeeze tauk,Bands like The Main Squeeze / Tauk
something like roderick porter baby,Something like Roderick Porter - Baby
something new from hip hop,Something new from Hip-hop.
songs that start slow and calm and then go fast and loud very quickly,Songs that start slow and calm and then go fast and loud very quickly
good happy montage background music,Good happy montage/background music?
please suggest me some songs to pass to the dj for my brothers wedding,Please suggest me some songs to pass to the DJ for my Brothers wedding!
music similar to morphine robocobra quartett | featuring elements like saxophone prominent bass,Music similar to Morphine/Robocobra Quartett [featuring elements like Saxophone/prominent Bass]
songs similar to these couple house songs | who loves the sun electricity stay,"Songs Similar to these couple House songs (Who loves the sun, Electricity, Stay)"
looking for electronic music with a 50s vibe,Looking for electronic music with a 50's vibe.
