id,text,start_offset,end_offset,label
13434,i love radioheads kid a something similar | kinda a bit like aphex twin maybe,7,17,Artist_known
13434,i love radioheads kid a something similar | kinda a bit like aphex twin maybe,18,23,WoA_known
13434,i love radioheads kid a something similar | kinda a bit like aphex twin maybe,61,71,Artist_known
13435,anything similar to i fight dragons,20,35,Artist_or_WoA_deduced
13436,music similar to ccrs travelin band,17,35,Artist_deduced
13437,songs similar to blackout by boris,17,25,WoA_deduced
13437,songs similar to blackout by boris,29,34,Artist_deduced
13438,similar to zoosters breakout by hans zimmer but simpler not as epic,11,28,WoA_deduced
13438,similar to zoosters breakout by hans zimmer but simpler not as epic,32,43,Artist_deduced
13439,songs similar to trios da da da,17,31,Artist_or_WoA_deduced
13440,aything similar to radioheads everything in its right place,19,29,Artist_known
13440,aything similar to radioheads everything in its right place,30,59,WoA_deduced
13446,dré anthony brand new,0,11,Artist_deduced
13447,looking for songs similar in subject and style to the intro to black parade by my chemical romance,50,75,WoA_deduced
13447,looking for songs similar in subject and style to the intro to black parade by my chemical romance,79,98,Artist_deduced
13448,rap hip hop that sounds like crushed up by future,29,39,WoA_deduced
13448,rap hip hop that sounds like crushed up by future,43,49,Artist_deduced
13449,songs with the same vibe as this | digging the soft punk style,35,62,Artist_or_WoA_deduced
13450,searching for rap r&b acts like matt champion of brockhampton,32,45,Artist_deduced
13450,searching for rap r&b acts like matt champion of brockhampton,49,61,Artist_deduced
13454,similar song to something beautifull need to breathe,16,52,Artist_or_WoA_deduced
13457,stuff like flylo,11,16,Artist_known
13462,andrew huang 300000 note song | any other songs that resembles this,0,12,Artist_deduced
13462,andrew huang 300000 note song | any other songs that resembles this,13,24,WoA_deduced
13463,similar to buttercup by jack stauber,11,20,WoA_deduced
13463,similar to buttercup by jack stauber,24,36,Artist_deduced
13469,im looking for an album like pheonixs love like a sunset | ideally instrumental only,29,37,Artist_deduced
13469,im looking for an album like pheonixs love like a sunset | ideally instrumental only,38,56,WoA_deduced
13471,looking for calm ghost related songs,12,22,WoA_deduced
13474,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,59,66,WoA_deduced
13474,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,70,84,Artist_deduced
13474,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,85,98,WoA_deduced
13474,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,102,115,Artist_deduced
13474,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,118,133,WoA_deduced
13474,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,137,158,Artist_deduced
13476,scott pilgrim vs the world,0,13,Artist_deduced
13476,scott pilgrim vs the world,17,26,WoA_deduced
13482,bluesy songs kinda like evil woman by black sabbath,24,34,WoA_deduced
13482,bluesy songs kinda like evil woman by black sabbath,38,51,Artist_known
13485,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,17,39,WoA_deduced
